,🗓️ SEMANA 26/01 al 30/01,🗓️ SEMANA 2/02 al 06/02,🗓️ SEMANA 9/2 al 13/2,🗓️ SEMANA 16 /02 al 20/02,🗓️ Semana del 23/2 al 27 /2,🗓️ Semana del 2/3 al 7 /3,🗓️ Semana del 9/3 al 13 /3,🗓️ Semana del 16/3 al 20/3,Semana 23/03 a 27/03,🗓️ SEMANA 06/04 a 10/04,🗓️ SEMANA 13/04 a 17/04,🗓️ SEMANA 20/04 a 25/04,🗓️ SEMANA 27/04 al 30/04,🗓️ SEMANA 04/05 AL 08/05,🗓️ SEMANA 11/05 AL 15/06,🗓️ SEMANA 18/05 AL 22/05,🗓️ SEMANA 25/05 AL 29/05,🗓️ SEMANA 01/06 AL 06/06,🗓️ SEMANA 8/06 al 12/06,🗓️ SEMANA 16/06 al 19/06,🗓️ SEMANA 22/06 a 26/06,🗓️ SEMANA 26/06 a 03/07,🗓️ SEMANA 06/07 a 10/07,🗓️ SEMANA 13/07 a 17/07
LUNES,A: Arroz con pollo,A: Pata Muslo al champiñon con ensalada,A:Pollo al verdeo con Pure,FERIADO,A: Milanesa de pollo napolitana con puré,A: Pollo a la mostaza con pure,A: tarta de verduras con ensalada,A: Pollo al limón con pure de zapallo,FERIADO,A: Pata Muslo al champiñon con pure de zapallo,A:Milanesa de pollo napolitana con rusa,A:Pollo al verdeo con Pure,A: Arroz con pollo,A: Rollitos de pollo con puré,A: Pata Muslo al champiñon con ensalada,A: Pollo al limón con pure de zapallo,FERIADO,A: Spaghetti con salsa de champiñones,A:Pollo al romero con papas rusticas,FERIADO,A:Pollo al verdeo con Pure,A: Pata Muslo al champiñon con pure de zapallo,A: Polenta con queso y bolognesa,A:Canelones de pollo con salsa blanca
,C:  Canelones de JyQ con salsa Fileto,C: Napolitana de carne con papas,C: Ravioles con Bolognesa,FERIADO,C:  Canelones de JyQ con salsa Fileto,C: Medallones de Merluza con ensalada rusa,C: Pollo al romero con papas rusticas,C: Hamburguesas de carne con papas al horno,FERIADO,C: Napolitana de carne con pure de papas,C: Medallones de merluza con pure de papas,C: Ravioles con Bolognesa,C:  Canelones de JyQ con salsa Fileto,C: Tortilla de verduras con arroz integral,C: Napolitana de carne con papas,C: Hamburguesas de carne con papas al horno,FERIADO,C: Milanesa de calabaza napolitana con ensalada,C: Tarta de verduras con ensalada,FERIADO,C: Ravioles con Bolognesa,C: Napolitana de carne con pure de papas,C:Canelones de Jamon y queso con salsa blanca,C:Tarta de verduras con ensalada
MARTES,A: Hamburguesa de carne con pure de papas,A: Zapallitos Rellenos,A: Estofado de albóndigas,FERIADO,A: Hamburguesas de acelga con puré,A: Estofado de albóndigas,A: Canelónes de JyQ con bolognesa,A: Tortilla de papa rellena con ensalada,FERIADO,A: Zapallitos Rellenos,A:Croquetas de vegetales y semillas con ensalada,A: Hamburguesa de carne con pure de papas,A: Tortilla de papa rellena con ensalada,A: Lasagna de berenjena con ensalada,A: Zapallitos Rellenos,A: Tortilla de papa rellena con ensalada,Canelones jyq con bolognesa,A: Guiso de Lentejas,A: Guiso de fideos ,A: Arroz con pollo,A: Hamburguesa de carne con pure de papas,A: Hamburguesa de carne a la suiza con arroz,A: Carbonada de pollo,A: Pan de carne con papas al horno
,C: Ensalada Cesar con arroz integral,C: Milanesa de berenjena napolitana con ensalada,C: Tortilla de Verdura con ensalada,FERIADO,C: Salpicon,C: Lasaña de JyQ,C:Zapallitos rellenos,C: Estofado de carne,FERIADO,C: Lasaña de berenjena,C: Pan de carne con papas al Horno,C: Guiso de Lentejas,C: Ensalada Cesar,C: Ravioles con bolognesa,C: Milanesa de berenjena napolitana con ensalada,C: Estofado de carne,Polenta con queso y bolognesa,C: Hamburguesa de pollo napolitana con pure de zapallo,C: Croquetas de papa con ensalada,C: Tallarines de espinacas con mixta,C: Guiso de Lentejas,C: Lasaña de berenjena,C: Estofado de Albondigas,C: Guiso de fideos
MIERCOLES,A: Pastel de papa,A: Pastel de camote,A: Berenjenas rellenas con ensalada,A:Polllo al Horno con Vegetales ,A: Pastel de papa,A: Pastel de camote,A: Wok de cerdo,A: Ensalada cesar,A: Pollo al limon con fideos al pesto,A: Pastel de camote,A:Filet de Merluza con pure de papas,A: Bife a la criolla,A: Pastel de camote,A: Pastel papa,A: Pastel de camote,A: Guiso de Mondongo,Zapallitos rellenos con carne,A: Hamburguesa de carne con ensalada,A: Hamburguesas de acelga a la napo con ensalada,A: Pastel de Camote,A:Tortilla de papa con ensalada,A: Papillott de merluza,A:Pastel de Calabaza,A: Carne a la olla
,C: Hamburguesas de acelga con puré,C: Lasaña,C: Salpicon,C:Tallarines con salsa caruso,C: Hamburguesa de carne con pure de papas,C: Hamburguesa de lentejas con puré de zapallo,C: Ñoquis con Bolognesa,C: Mil hojas de berenjena y zuquini,C:Canelones de Jamon y queso con salsa blanca.,C: Tarta caprese con pure mixto,C:Canelones de Jamon y queso con salsa blanca,C: Hamburguesas de acelga a la napo con ensalada,C: Mil hojas de berenjena y zuquini con arroz integral,A: Hígado ensebollado con pure,C: Lasaña,C: Mil hojas de berenjena y zuquini,Pollo a la portuguesa,C: tortilla de verduras con ensalada,C: Polenta cremosa con cebolla caramelizada y champiñones,C: Suprema capresse con puré de papas,C: Rollitos de pollo con pure de zapallos,C: bueñuelos de arroz con ensalada,A: Hígado ensebollado con pure,C: Zapallito relleno con salsa fileto
JUEVES,A: Wok de pollo,A: Fetuchini con salsa de hongos,A: Pollo a la Portuguesa,A: Ravioles de acelga y ricota con Bolognesa,A: Wok de pollo,A: Ravioles de jamón y queso con fileto,A: Arroz con calamar,A: Carne al wok con vegetales,A:Rotolo de verdura con salsa bolognesa,A: Wok de pollo,A:Pollo al escabeche con budin de calabaza,A: Pollo a la Portuguesa,A: Wok de carne con vegetales y arroz,A: Pan de carne con ensalada,A: Fetuchini con salsa de hongos,A: Carne al wok con vegetales,Sorrentinos calabaza con  bolognesa,A:Ñoquis con bolognesa,A: Wok de cerdo,A: Wok de arroz y ternera,A: Pastel de Papa,A: Wok de pollo,FERIADO,A: Pastel de camote
,C: Ñoquis,C: Costeletas de Cerdo a la Riojana,C: Soufflé de espinaca con arroz,C: Lasaña de zuchini,C: Costeletas de cerdo a la Riojana con puré,C: Pollo a la crema con arroz primavera,C: Hamburguesas de acelga a la napo con ensalada,C: Tallarines con albóndigas y salsa,C:Cerdo a la barbacoa con pure,C:Tacos de carne con ensalasa,C: Fetuchini de espinaca con estofado,C: Ñoquis con Bolognesa,C: Costeletas de cerdo a la Riojana con puré,C: Pata muslo con arroz primavera,C:Cerdo a la barbacoa con pure,C: Tallarines con albóndigas y salsa,Carne al horno con verduras grilladas,C: Guiso de albondigas con verduras,C:  Puchero,C:  Tarta de atún con remolacha y zanahoria cocida.,C: Zapallito Relleno con salsa fileto,C: Tarta bicolor c ensalada,FERIADO,C: Buñuelos de arroz con ensalada
VIERNES,A:  Bomba de papa rellena con ensalada,A: Carne a la olla,A: Pan de carne con Verduras asadas,A: Cerdo al horno con papas,A:  Bomba de papa rellena con ensalada,A: Cerdo a la Barbacoa con Pure de MIxto,A: Pan de carne relleno con Verduras asadas,A: Costeletas de cerdo con verduras al horno,A:Carne a la olla,A:Carne al horno con vegetales,A:Milhojas de papa con ensalada,A:Risotto de Cerdo,feriado,A: Hamburguesa casera de pollo vegetales asados,A: Carne a la olla,A: Costeletas de cerdo con verduras al horno,Costeleta de cerdo a la riojana con puré de papa,A: Wok de pollo,A: Pan de carne con Verduras asadas,A:Pizza de verduras con ensalada,A: Tacos de pollo con ensalada,A:Carne al horno con vegetales,A:Bondiola de Cerdo Braseada con pure de batata,A: Cerdo a la Barbacoa con puré mixto
,C: Cerdo a la barbacoa con pure,C: Alitas rebozadas con pure,C: Croquetas de papa con ensalada,C: Milanesa de zucchini napolitana con puré,C: Carne al horno con pure,C: ensalada  Caesar,C: Torrejas de Arroz y Jamon con pure de zapallos,C: Tacos de pollo con ensalada,C:Medallones de merluza con rusa,C: Ravioles con salsa caruso,C: Estofado de Albondigas,C:Tallarines con salsa caruso,feriado,C: Spaguetti de espinaca con estofado,C: Estofado de Albondigas,C: Tacos de pollo con ensalada,Fetuchini con albóndigas,C: Medallones de Merluza con ensalada rusa,C: Torrejas de Arroz y Jamon con pure de zapallos,C: Cerdo a la barbacoa con pure mixto,C: Bife a la criolla,C: Ravioles con salsa caruso,C: Fetuchini con salsa de hongos,C: Bomba de papa rellena con ensalada
